#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.75578     0.75578           0
           2    0.710084    0.732932    0.016156
           3    0.713676    0.726513    0.011978
           4    0.751796    0.732834   0.0105198
           5     0.85976    0.758219   0.0242147
           6    0.584344     0.72924   0.0332719
           7    0.755916    0.733051   0.0287362
           8    0.654152    0.723189   0.0267831
           9    0.673892    0.717711   0.0243609
          10    0.708648    0.716805   0.0219416
          11    0.730764    0.718074   0.0199836
          12    0.698344     0.71643   0.0183858
          13    0.822316    0.724575   0.0186888
          14    0.763472    0.727353   0.0175592
          15    0.693492    0.725096   0.0165331
          16    0.704964    0.723838   0.0155476
          17    0.736012    0.724554   0.0146495
          18    0.642692    0.720006   0.0145244
          19    0.563256    0.711756   0.0159316
          20    0.540696    0.703203   0.0172791
          21     0.58006    0.697339   0.0174229
          22    0.564808    0.691315   0.0176417
          23    0.864476    0.698843   0.0184112
          24    0.823772    0.704049   0.0183651
          25    0.683576     0.70323   0.0176488
          26    0.598896    0.699217   0.0174202
          27    0.748308    0.701035   0.0168696
          28    0.759688     0.70313   0.0163967
          29     0.70944    0.703348   0.0158327
          30    0.553728     0.69836   0.0160713
