#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.928808   -0.928808           0
           2   -0.940312    -0.93456  0.00406728
           3   -0.941472   -0.936864  0.00330019
           4   -0.928496   -0.934772  0.00306736
           5   -0.929104   -0.933638  0.00265511
           6    -0.93212   -0.933385  0.00222462
           7   -0.928688   -0.932714  0.00200547
           8   -0.932376   -0.932672  0.00175523
           9   -0.928976   -0.932261  0.00160753
          10   -0.923256   -0.931361  0.00168019
          11    -0.92704   -0.930968  0.00157269
          12   -0.946832    -0.93229  0.00191842
          13    -0.94152      -0.933  0.00189769
          14   -0.933768   -0.933055  0.00176294
          15   -0.927272   -0.932669  0.00168703
          16   -0.927568   -0.932351  0.00161144
          17   -0.936208   -0.932577  0.00153254
          18    -0.93676    -0.93281  0.00146491
          19   -0.942744   -0.933333  0.00147818
          20   -0.936992   -0.933516  0.00141555
          21   -0.934736   -0.933574  0.00134933
          22   -0.929808   -0.933403  0.00129881
          23   -0.936256   -0.933527  0.00124825
          24   -0.931712   -0.933451  0.00119853
          25   -0.946368   -0.933968  0.00125703
          26   -0.945136   -0.934397  0.00127998
          27   -0.928016   -0.934161   0.0012542
          28   -0.930192   -0.934019  0.00121739
          29   -0.944288   -0.934373  0.00122583
          30   -0.934696   -0.934384  0.00118501
