#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.493847    0.493847           0
           2    0.398609    0.446228   0.0336719
           3    0.417566    0.436674   0.0237647
           4    0.450241    0.440066    0.018064
           5    0.388666    0.429786   0.0171283
           6    0.385376    0.422384    0.015792
           7    0.335116    0.409917   0.0177888
           8    0.394638    0.408007   0.0156674
           9    0.430765    0.410536   0.0141292
          10    0.445905    0.414073   0.0131515
          11    0.414983    0.414156   0.0119562
          12    0.401517    0.413103   0.0110061
          13    0.400746    0.412152   0.0102005
          14    0.417139    0.412508  0.00947807
          15    0.365366    0.409365  0.00935275
          16     0.40129    0.408861  0.00878181
          17    0.440847    0.410742   0.0084644
          18    0.422764     0.41141  0.00802047
          19    0.381221    0.409821  0.00775413
          20    0.395454    0.409103  0.00739962
          21    0.402196    0.408774  0.00705456
          22    0.412239    0.408932  0.00673566
          23    0.432631    0.409962  0.00652114
          24    0.396415    0.409397  0.00627381
          25     0.40939    0.409397  0.00602286
          26    0.432959    0.410303  0.00585899
          27    0.455964    0.411995  0.00588099
          28    0.415084    0.412105  0.00567199
          29    0.427046     0.41262  0.00549976
          30    0.391959    0.411931  0.00535938
