#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     42.7863     42.7863           0
           2     49.0078     45.8971     2.19961
           3     50.4263     47.4068      1.9157
           4     38.9421     45.2906     2.32872
           5     39.4421     44.1209     2.13665
           6     40.0757     43.4467     1.88391
           7     36.7753     42.4936     1.84013
           8     41.5731     42.3786     1.61371
           9     42.8124     42.4268     1.43513
          10     36.6738     41.8515     1.40219
          11     37.6134     41.4662      1.3266
          12     53.1762      42.442     1.53352
          13     47.0873     42.7994     1.45659
          14     42.8538     42.8033     1.35255
          15      39.056     42.5534     1.28525
          16     37.4682     42.2356      1.2436
          17     47.6897     42.5564     1.21112
          18     43.8427     42.6279     1.14594
          19     46.8952     42.8525     1.10742
          20     45.0131     42.9605     1.05731
          21     43.6247     42.9922     1.00743
          22     40.9459     42.8991    0.965922
          23      46.274     43.0459    0.935004
          24      40.245     42.9292      0.9033
          25     52.8447     43.3258    0.950261
          26     53.1713     43.7045    0.986281
          27     38.8851      43.526    0.965769
          28     39.4185     43.3793    0.942353
          29     52.6115     43.6976     0.96213
          30     43.2406     43.6824     0.93018
