#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.338709    0.338709           0
           2    0.355728    0.347218  0.00601705
           3    0.337819    0.344085  0.00475759
           4     0.34486    0.344279  0.00357213
           5    0.345465    0.344516  0.00286556
           6    0.339196    0.343629  0.00252142
           7    0.344475     0.34375  0.00216411
           8    0.343126    0.343672  0.00189501
           9    0.342622    0.343555  0.00168804
          10    0.352473    0.344447  0.00173892
          11    0.343976    0.344404  0.00158136
          12    0.334157     0.34355  0.00166428
          13     0.34811    0.343901  0.00157279
          14    0.344604    0.343951  0.00146124
          15    0.335953    0.343418  0.00145787
          16    0.351337    0.343913  0.00144834
          17    0.348663    0.344193  0.00138983
          18    0.345412     0.34426  0.00131426
          19    0.351148    0.344623  0.00129412
          20    0.345563     0.34467  0.00123026
          21    0.343258    0.344603  0.00117352
          22    0.341548    0.344464  0.00112836
          23    0.347329    0.344588  0.00108615
          24    0.340195    0.344405  0.00105621
          25    0.345973    0.344468  0.00101582
          26    0.349439    0.344659 0.000994583
          27    0.339155    0.344455 0.000978416
          28    0.338299    0.344235 0.000967865
          29    0.344331    0.344239 0.000934496
          30    0.347081    0.344333 0.000908136
