#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.61807     3.61807           0
           2     3.51154     3.56481   0.0376616
           3     3.56519     3.56494    0.025108
           4     3.59221     3.57175   0.0197351
           5     3.58732     3.57487   0.0160317
           6     3.45759     3.55532   0.0222898
           7     3.52855      3.5515   0.0194309
           8     3.47353     3.54175   0.0192921
           9     3.39167     3.52507   0.0232649
          10      3.3305     3.50562   0.0279134
          11     3.75076      3.5279   0.0330972
          12     3.60114     3.53401   0.0308967
          13     3.54585     3.53492   0.0285334
          14     3.62274     3.54119   0.0271762
          15     3.38114     3.53052   0.0273791
          16     3.77573     3.54584   0.0296486
          17     3.67623     3.55351   0.0288795
          18     3.44398     3.54743   0.0279089
          19     3.75839     3.55853   0.0285634
          20     3.52651     3.55693   0.0271801
          21     3.57124     3.55761   0.0258944
          22     3.33297      3.5474   0.0266547
          23      3.7052     3.55426    0.026364
          24     3.34611     3.54559   0.0266539
          25     3.60486     3.54796    0.025693
          26     3.67337     3.55278   0.0251534
          27     3.64828     3.55632   0.0244692
          28     3.53625      3.5556   0.0236058
          29     3.46897     3.55262   0.0229801
          30     3.58118     3.55357   0.0222338
