#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.06072     0.06072           0
           2    0.089352    0.075036   0.0101229
           3    0.074324   0.0747987  0.00675141
           4    0.074768    0.074791  0.00506356
           5    0.047888   0.0694104  0.00629047
           6    0.063244   0.0683827  0.00532535
           7      0.0699   0.0685994    0.004569
           8    0.062324    0.067815  0.00406465
           9     0.08448   0.0696667  0.00401269
          10    0.061168   0.0688168  0.00370032
          11    0.078296   0.0696785  0.00346282
          12     0.08322    0.070807  0.00335308
          13     0.08482   0.0718849  0.00326382
          14    0.055852   0.0707397  0.00322535
          15     0.05022   0.0693717  0.00328766
          16    0.077568    0.069884  0.00312183
          17    0.069696   0.0698729  0.00293822
          18     0.07948   0.0704067  0.00282304
          19    0.065888   0.0701688  0.00268446
          20    0.081944   0.0707576    0.002614
          21    0.065604   0.0705122  0.00250102
          22    0.067228   0.0703629  0.00239179
          23    0.059612   0.0698955  0.00233303
          24    0.058576   0.0694238  0.00228299
          25     0.05936   0.0690213  0.00222688
          26     0.07982   0.0694366  0.00217962
          27    0.078512   0.0697727  0.00212465
          28     0.09134    0.070543  0.00218394
          29    0.067176   0.0704269  0.00211171
          30    0.075776   0.0706052  0.00204883
