#     BLOCK:   ACCEPTANCE:
           1    0.346984
           2    0.347486
           3    0.347983
           4    0.348656
           5    0.348919
           6    0.348758
           7    0.348611
           8    0.348718
           9    0.348384
          10    0.348394
          11    0.348459
          12    0.348365
          13    0.348345
          14    0.348127
          15    0.348203
          16    0.348266
          17    0.348453
          18    0.348526
          19    0.348291
          20    0.348162
          21    0.348171
          22    0.348139
          23    0.348211
          24    0.348175
          25    0.348117
          26    0.348036
          27    0.348182
          28     0.34813
          29    0.348107
          30    0.348073
