#     BLOCK:   ACCEPTANCE:
           1    0.516014
           2    0.513755
           3    0.512979
           4    0.513627
           5    0.513842
           6    0.513218
           7    0.513063
           8    0.513193
           9    0.513131
          10    0.513319
          11    0.513192
          12    0.513203
          13    0.513045
          14    0.512966
          15    0.512928
          16    0.513038
          17    0.513089
          18    0.513054
          19    0.513032
          20    0.513124
          21    0.512994
          22    0.513138
          23    0.513121
          24    0.513095
          25    0.513093
          26    0.513152
          27    0.513203
          28    0.513244
          29    0.513246
          30    0.513168
