#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.482112   -0.482112           0
           2   -0.484376   -0.483244 0.000800445
           3   -0.483152   -0.483213 0.000534217
           4   -0.479536   -0.482294 0.000891297
           5   -0.480352   -0.481906 0.000793162
           6    -0.48376   -0.482215 0.000718666
           7   -0.484832   -0.482589 0.000706603
           8   -0.482856   -0.482622 0.000619068
           9    -0.48484   -0.482868 0.000597326
          10   -0.482488    -0.48283 0.000538803
          11   -0.480064   -0.482579 0.000545365
          12   -0.480656   -0.482419  0.00052293
          13    -0.48556    -0.48266 0.000535633
          14   -0.484832   -0.482815 0.000519349
          15   -0.484072   -0.482899 0.000491436
          16   -0.481504   -0.482812 0.000468394
          17   -0.481632   -0.482743 0.000445954
          18   -0.482528   -0.482731 0.000421338
          19    -0.48164   -0.482673 0.000403054
          20    -0.47968   -0.482524 0.000409747
          21     -0.4858    -0.48268 0.000418887
          22   -0.479664   -0.482543 0.000421678
          23   -0.482304   -0.482532 0.000403472
          24   -0.484872    -0.48263 0.000398265
          25   -0.483432   -0.482662 0.000383626
          26    -0.48156   -0.482619 0.000371204
          27   -0.484088   -0.482674 0.000361419
          28   -0.483008   -0.482686 0.000348708
          29   -0.480672   -0.482616 0.000343528
          30    -0.48216   -0.482601 0.000332413
