#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.55011     1.55011           0
           2     1.49406     1.52208   0.0198139
           3     1.46724      1.5038   0.0199317
           4     1.46253     1.49349    0.017416
           5      1.4886     1.49251   0.0139601
           6     1.51661     1.49652   0.0121975
           7     1.59761     1.51097   0.0169723
           8      1.4846     1.50767   0.0151675
           9     1.53383     1.51058   0.0137579
          10     1.50163     1.50968   0.0124112
          11     1.46527     1.50564   0.0119215
          12      1.4504     1.50104   0.0117833
          13     1.56757     1.50616   0.0119368
          14     1.48311     1.50451   0.0111971
          15     1.51013     1.50489   0.0104569
          16     1.51058     1.50524   0.0098094
          17     1.53076     1.50674  0.00934649
          18     1.54166     1.50868  0.00902633
          19     1.51591     1.50906  0.00855927
          20     1.46896     1.50706  0.00836289
          21     1.53434     1.50836  0.00806494
          22     1.47343     1.50677  0.00785309
          23     1.52122      1.5074  0.00753674
          24     1.53996     1.50876   0.0073438
          25     1.57956     1.51159  0.00757649
          26     1.52052     1.51193  0.00729287
          27     1.58282     1.51456  0.00748047
          28      1.5272     1.51501  0.00722692
          29     1.45789     1.51304  0.00724116
          30     1.48719     1.51218  0.00705086
