#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.218779    0.218779           0
           2    0.211945    0.215362  0.00241615
           3    0.218898    0.216541  0.00187639
           4     0.21008    0.214926  0.00198423
           5    0.216588    0.215258  0.00161498
           6    0.212086    0.214729  0.00142976
           7    0.212951    0.214475  0.00124788
           8    0.203074     0.21305  0.00172323
           9    0.215059    0.213273  0.00154616
          10    0.212674    0.213213   0.0013927
          11    0.207158    0.212663  0.00137058
          12    0.207365    0.212221  0.00132558
          13    0.220735    0.212876  0.00137591
          14    0.209955    0.212668  0.00129336
          15    0.210634    0.212532  0.00121423
          16    0.216115    0.212756   0.0011588
          17    0.209248     0.21255  0.00110886
          18    0.214764    0.212673  0.00105405
          19    0.211961    0.212635 0.000999241
          20    0.217421    0.212874 0.000977515
          21    0.214989    0.212975 0.000936138
          22    0.208202    0.212758 0.000918381
          23    0.212882    0.212764 0.000878467
          24     0.21759    0.212965 0.000864579
          25    0.212065    0.212929 0.000830744
          26    0.221112    0.213243 0.000856342
          27    0.211997    0.213197  0.00082587
          28    0.213876    0.213222  0.00079673
          29     0.21403    0.213249 0.000769744
          30    0.207732    0.213065 0.000765746
