#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.034912    0.034912           0
           2    0.027496    0.031204  0.00262195
           3    0.030552   0.0309867  0.00175695
           4    0.038384    0.032836  0.00207398
           5      0.0238   0.0310288  0.00231639
           6    0.023144   0.0297147  0.00227273
           7     0.02914   0.0296326  0.00194953
           8    0.028096   0.0294405  0.00171528
           9     0.03616   0.0301871  0.00167934
          10    0.038368   0.0310052  0.00169902
          11    0.036152   0.0314731   0.0016077
          12    0.027744   0.0311623  0.00150346
          13    0.037876   0.0316788  0.00147384
          14    0.026356   0.0312986  0.00141676
          15    0.022476   0.0307104  0.00143923
          16    0.039548   0.0312627   0.0014514
          17    0.028116   0.0310776  0.00137778
          18    0.024316    0.030702  0.00135147
          19    0.019772   0.0301267  0.00139742
          20    0.018276   0.0295342  0.00144774
          21    0.022676   0.0292076  0.00141515
          22      0.0312   0.0292982  0.00135372
          23    0.023036   0.0290259  0.00132196
          24    0.031952   0.0291478  0.00127249
          25     0.02216   0.0288683  0.00125191
          26    0.020596   0.0285502  0.00124353
          27     0.02922    0.028575  0.00119773
          28    0.033676   0.0287571  0.00116872
          29    0.037788   0.0290686  0.00116917
          30    0.024632   0.0289207  0.00113952
