#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.053728    0.053728           0
           2    0.037108    0.045418  0.00587606
           3    0.030844     0.04056  0.00557488
           4    0.052176    0.043464  0.00487924
           5    0.056196   0.0460104  0.00451927
           6    0.032276   0.0437213  0.00430694
           7    0.023964   0.0408989  0.00452291
           8    0.051352   0.0422055  0.00414199
           9    0.035924   0.0415076  0.00374011
          10    0.042012    0.041558  0.00336644
          11    0.028864    0.040404  0.00325218
          12    0.030708    0.039596   0.0030799
          13    0.036448   0.0393538  0.00285249
          14    0.029412   0.0386437  0.00273571
          15    0.056124   0.0398091  0.00279052
          16    0.029844   0.0391863  0.00268471
          17     0.04456   0.0395024  0.00254533
          18    0.046568   0.0398949    0.002434
          19      0.0392   0.0398583  0.00230617
          20    0.042132    0.039972  0.00219367
          21    0.026372   0.0393244  0.00218271
          22    0.043688   0.0395227  0.00209249
          23     0.03554   0.0393496  0.00200866
          24    0.035764   0.0392002  0.00193052
          25    0.048116   0.0395568  0.00188595
          26    0.043976   0.0397268  0.00182105
          27    0.038616   0.0396856  0.00175407
          28    0.046896   0.0399431  0.00171023
          29    0.031508   0.0396523   0.0016758
          30     0.03444   0.0394785  0.00162893
