#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.528096   -0.528096           0
           2   -0.530032   -0.529064 0.000684479
           3   -0.528624   -0.528917 0.000471771
           4   -0.525656   -0.528102 0.000789792
           5   -0.527376   -0.527957 0.000645043
           6   -0.529792   -0.528263 0.000605728
           7   -0.531104   -0.528669 0.000640926
           8   -0.527304   -0.528498 0.000583066
           9    -0.52896   -0.528549 0.000520535
          10   -0.531104   -0.528805 0.000527458
          11   -0.527504   -0.528687 0.000492585
          12   -0.526936   -0.528541 0.000472644
          13   -0.530296   -0.528676 0.000455166
          14   -0.529344   -0.528723  0.00042515
          15   -0.527848   -0.528665 0.000400792
          16    -0.52808   -0.528629 0.000377407
          17   -0.527064   -0.528536 0.000366255
          18   -0.527976   -0.528505 0.000347229
          19      -0.529   -0.528531 0.000329928
          20   -0.524904    -0.52835 0.000359846
          21   -0.527952   -0.528331 0.000343209
          22   -0.528704   -0.528348 0.000328027
          23   -0.529336   -0.528391 0.000316565
          24   -0.529848   -0.528452 0.000309142
          25   -0.529136   -0.528479 0.000297986
          26   -0.529152   -0.528505 0.000287647
          27    -0.52596   -0.528411 0.000292028
          28   -0.525448   -0.528305 0.000300156
          29   -0.526496   -0.528242 0.000296216
          30   -0.528944   -0.528266 0.000287263
