#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.82763     1.82763           0
           2     1.92714     1.87739   0.0351823
           3     1.89945     1.88474   0.0242112
           4     1.92556     1.89495   0.0201949
           5     1.93123      1.9022   0.0174111
           6     1.82361     1.88911   0.0188018
           7     1.95734     1.89885   0.0184705
           8     1.84677     1.89234   0.0172709
           9     1.82464     1.88482    0.016911
          10     1.97024     1.89336   0.0172426
          11     1.85344     1.88973   0.0160526
          12       1.878     1.88875   0.0147446
          13      1.9664     1.89473   0.0147707
          14     1.92496     1.89689   0.0138726
          15     1.90482     1.89742   0.0129578
          16     1.83542     1.89354   0.0127141
          17     1.91024     1.89452    0.012004
          18      1.9616     1.89825   0.0119015
          19     1.93828     1.90036     0.01146
          20     1.85653     1.89816   0.0110945
          21     1.84591     1.89568   0.0108417
          22     1.85022     1.89361    0.010544
          23     1.90092     1.89393   0.0100903
          24      1.9065     1.89445  0.00968349
          25     1.80613     1.89092  0.00991974
          26     1.83942     1.88894  0.00973394
          27     1.89575     1.88919  0.00937669
          28     1.83399     1.88722  0.00924676
          29     1.84241     1.88567  0.00905608
          30     1.88401     1.88562  0.00875438
