#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.251234    0.251234           0
           2    0.253218    0.252226 0.000701383
           3    0.254093    0.252848 0.000690559
           4    0.249788    0.252083 0.000840935
           5    0.253841    0.252435  0.00074257
           6    0.246103     0.25138  0.00114498
           7    0.244278    0.250365  0.00135846
           8    0.246429    0.249873  0.00127463
           9    0.248034    0.249669  0.00114927
          10     0.24585    0.249287  0.00109594
          11    0.240476    0.248486  0.00125533
          12      0.2556    0.249079  0.00128308
          13    0.258983    0.249841   0.0013923
          14    0.242642    0.249326  0.00138455
          15    0.249254    0.249322  0.00129225
          16    0.258414     0.24989  0.00133058
          17    0.256853    0.250299  0.00131384
          18    0.251987    0.250393  0.00124419
          19    0.248254    0.250281  0.00118379
          20    0.248464     0.25019  0.00112808
          21    0.251208    0.250238   0.0010754
          22    0.245543    0.250025  0.00104748
          23    0.246265    0.249861  0.00101462
          24    0.250214    0.249876 0.000972446
          25    0.248134    0.249806 0.000936042
          26    0.253067    0.249932 0.000908404
          27    0.252806    0.250038 0.000880972
          28    0.245488    0.249876 0.000864368
          29    0.244839    0.249702 0.000851829
          30    0.252778    0.249805 0.000829583
