#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.308165    0.308165           0
           2    0.317439    0.312802  0.00327877
           3     0.31374    0.313115  0.00220072
           4    0.320501    0.314961  0.00229817
           5    0.319396    0.315848  0.00200239
           6    0.307358    0.314433  0.00211021
           7    0.308823    0.313632  0.00195503
           8    0.316933    0.314044  0.00175365
           9    0.309645    0.313555   0.0016255
          10    0.314367    0.313637  0.00146498
          11     0.32262    0.314453  0.00154274
          12    0.313419    0.314367  0.00141659
          13    0.323869    0.315098  0.00148427
          14    0.320788    0.315504  0.00143281
          15    0.311591    0.315244  0.00136083
          16    0.322207    0.315679  0.00134357
          17    0.324695    0.316209  0.00136522
          18    0.311544     0.31595  0.00131374
          19     0.31476    0.315887  0.00124609
          20    0.315528    0.315869  0.00118391
          21    0.316899    0.315918  0.00112855
          22    0.324553    0.316311  0.00114346
          23    0.319492    0.316449  0.00110208
          24    0.314089    0.316351  0.00106054
          25    0.313051    0.316219   0.0010263
          26    0.330568    0.316771  0.00112548
          27    0.316591    0.316764  0.00108381
          28    0.308535     0.31647  0.00108422
          29    0.320306    0.316602  0.00105487
          30    0.306653    0.316271  0.00107057
