#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.05293     3.05293           0
           2     2.85465     2.95379   0.0701026
           3     2.96953     2.95904   0.0469308
           4     2.92559     2.95068   0.0359351
           5      2.9089     2.94232   0.0297036
           6     2.94097      2.9421   0.0247539
           7     3.06567     2.95975   0.0267826
           8     2.88819      2.9508   0.0248837
           9     2.94065     2.94968   0.0221444
          10     2.70158     2.92487   0.0308412
          11     2.99599     2.93133   0.0287073
          12     3.02251     2.93893    0.027302
          13     2.95353     2.94005   0.0252249
          14     2.90287      2.9374   0.0235625
          15     2.91143     2.93567   0.0220552
          16     3.06197     2.94356   0.0220442
          17     2.80862     2.93562   0.0221305
          18     2.91091     2.93425   0.0209435
          19     2.89582     2.93223   0.0199387
          20     2.95888     2.93356   0.0189862
          21     2.97147     2.93536   0.0181677
          22     2.89361     2.93347   0.0174408
          23      2.8896     2.93156   0.0167865
          24     2.98823     2.93392   0.0162522
          25     2.98822     2.93609   0.0157466
          26     2.98142     2.93784   0.0152372
          27     2.79316     2.93248   0.0155865
          28     3.00445     2.93505   0.0152404
          29     2.63146     2.92458   0.0179538
          30     2.97892     2.92639   0.0174465
