#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.058488    0.058488           0
           2      0.0637    0.061094  0.00184272
           3    0.055696   0.0592947  0.00191509
           4    0.047852    0.056434  0.00286366
           5    0.046192   0.0543856  0.00293345
           6     0.05146    0.053898  0.00248473
           7      0.0586   0.0545697  0.00221871
           8     0.07222    0.056776   0.0028334
           9    0.078072   0.0591422  0.00336454
          10    0.055992   0.0588272   0.0030428
          11    0.051428   0.0581545  0.00283956
          12    0.070844    0.059212  0.00279289
          13    0.054136   0.0588215  0.00260521
          14    0.041748    0.057602  0.00268946
          15     0.05188   0.0572205  0.00253707
          16    0.069944   0.0580158  0.00250002
          17    0.059432   0.0580991  0.00235435
          18    0.064276   0.0584422  0.00224842
          19    0.052292   0.0581185  0.00215326
          20    0.064404   0.0584328  0.00206841
          21    0.064024    0.058699  0.00198697
          22    0.064768   0.0589749  0.00191571
          23    0.051324   0.0586423  0.00186107
          24      0.0584   0.0586322  0.00178356
          25    0.062564   0.0587894  0.00171913
          26      0.0534   0.0585822  0.00166546
          27    0.056156   0.0584923   0.0016062
          28     0.06708    0.058799  0.00157785
          29    0.051536   0.0585486  0.00154319
          30    0.049168   0.0582359   0.0015231
