#     BLOCK:   ACCEPTANCE:
           1    0.381764
           2    0.380868
           3    0.381356
           4    0.382108
           5    0.382092
           6    0.381619
           7    0.381559
           8    0.381385
           9    0.381314
          10    0.381479
          11    0.381552
          12     0.38148
          13    0.381532
          14    0.381578
          15    0.381646
          16     0.38164
          17    0.381743
          18    0.381826
          19    0.381694
          20    0.381554
          21      0.3815
          22    0.381538
          23    0.381498
          24    0.381427
          25    0.381375
          26    0.381382
          27    0.381535
          28    0.381525
          29    0.381533
          30    0.381522
